Name,Points,Sum,s18a1042,yamazawa,Win4Pre,Gu,Choki,Pa,s09a1007,s12a2036,s12a2070,s12a1057,s12a1069,s13a1051,s14a2026,s14a2043,s14a1003,s14a1022,s16a1041,s16a1305,s16a2302,s17a1001,s17a1003,s17a1006,s17a1007,s17a1008,s17a1009,s17a1010,s17a1011,s17a1012,s17a1013,s17a1016,s17a1017,s17a1019,s17a1020,s17a1021,s17a1024,s17a1025,s17a1027,s17a1028,s17a1029,s17a1032,s17a1034,s17a1035,s17a1037,s17a1038,s17a1039,s17a1040,s17a1043,s17a1044,s17a1046,s17a1047,s17a1048,s17a1049,s17a1050,s17a1051,s17a1052,s17a1053,s17a1055,s17a1056,s17a1057,s17a1058,s17a1059,s17a1060,s17a1061,s17a1062,s17a1063,s17a1064,s17a1065,s17a1066,s17a1068,s17a1070,s17a1072,s17a1073,s17a1074,s17a1075,s17a1076,s17a1077,s17a1078,s17a1079,s17a1080,s13a2029,s16a1301,s16a1303,s16a2301,s16a2304,s17a2001,s17a2002,s17a2003,s17a2004,s17a2005,s17a2006,s17a2007,s17a2008,s17a2009,s17a2010,s17a2011,s17a2012,s17a2014,s17a2015,s17a2017,s17a2018,s17a2019,s17a2020,s17a2022,s17a2023,s17a2024,s17a2025,s17a2026,s17a2027,s17a2028,s17a2029,s17a2030,s17a2031,s17a2032,s17a2033,s17a2034,s17a2035,s17a2036,s17a2037,s17a2038,s17a2039,s17a2040,s17a2041,s17a2042,s17a2043,s17a2044,s17a2046,s17a2047,s17a2048,s17a2050,s17a2052,s17a2053,s17a2055,s17a2056,s17a2057,s17a2058,s17a2060,s17a2062,s17a2063,s17a2065,s17a2066,s17a2069,s17a2070,s17a2071,s17a2076,s17a2077,s17a2078,s17a2079,s17a2301
s18a1042,"=IF(C2>=0,C2/C$3*15+25,25-C2/C$4*15)",8463,0,-73,365,371,372,368,-66,-71,11,-62,-31,12,-43,-67,-58,-10,-64,-71,-62,-1,-35,-27,-7,176,242,-36,6,17,-45,23,49,-19,-38,-23,278,52,-8,-59,24,21,11,-24,48,41,-44,277,11,-47,10,279,-6,11,-43,1,193,-25,-27,-30,3,-35,26,89,274,281,-10,9,-51,-50,2,39,-20,13,-7,212,31,15,49,49,278,271,-29,4,-20,-4,-17,20,-5,-8,7,-4,-70,-14,-52,-28,24,-13,27,-17,-23,-1,5,-63,-16,-10,-9,-35,-15,27,-3,-27,16,-6,10,-41,-18,-27,64,103,18,239,-4,0,25,-8,-8,-53,-28,18,-27,12,13,10,-36,-29,-21,-8,76,148,-5,-4,-59,11,-28,121,274,13,-38,194
yamazawa,"=IF(C3>=0,C3/C$3*15+25,25-C3/C$4*15)",23702,52,0,355,372,367,367,-27,-14,-6,-27,-22,18,13,13,120,-81,-9,0,42,350,-21,-2,4,343,82,52,-3,-26,289,245,70,313,76,302,369,73,345,-11,1,35,28,9,179,303,179,373,51,-26,-7,367,339,-19,40,-33,78,57,100,23,28,29,310,75,362,375,-5,62,-15,172,-30,9,24,2,8,19,-7,5,291,144,362,375,86,-11,15,335,12,-2,-2,-1,12,7,-7,43,-23,8,-15,12,19,105,29,-12,-2,3,-18,12,-27,48,202,0,69,3,0,-29,94,18,-10,70,48,75,85,92,31,-10,36,18,-4,16,81,-6,-41,-13,-3,349,-17,37,18,21,69,112,-16,-10,69,11,-7,-22,360,10,9,155
Win4Pre,"=IF(C4>=0,C4/C$3*15+25,25-C4/C$4*15)",-61814,-361,-356,0,370,370,370,-360,-361,-372,-368,-355,-370,-370,-354,-367,-369,-369,-354,-335,-1,-109,-368,-370,-365,-355,-353,-361,-349,-37,-361,-371,-360,-370,182,-9,-365,-247,-365,-142,-369,-356,17,175,-362,14,-8,-368,-365,-19,-10,-367,-351,-346,-363,-365,-245,-371,11,-360,-350,-2,-357,-10,-7,17,-355,-352,-119,-366,-356,14,-6,11,-17,26,8,-224,-355,-9,-9,-368,11,-346,-369,15,-362,13,-361,-366,-358,-345,35,-356,-15,0,-19,-373,-369,-368,5,-4,-335,-350,-351,-364,-95,265,6,114,-372,-19,-363,-358,-362,-359,-354,1,-89,172,-4,-355,-322,-364,-229,-8,-354,-191,25,-350,0,-353,-367,-357,-371,-359,16,-347,-190,8,28,-371,-350,-355,-365,-9,-357,-366,-99
Gu,"=IF(C5>=0,C5/C$3*15+25,25-C5/C$4*15)",-86087,-369,-372,-373,0,375,-375,-374,-371,-375,-374,-375,-360,-355,-372,-373,-355,-374,-330,-326,-250,-361,-360,-350,-185,-369,-365,-360,8,-356,-370,-355,-355,-360,-359,-360,-360,-360,-363,40,-360,-356,-360,-360,-370,-355,-360,-360,-349,-32,-360,-360,-359,-365,-365,-351,-365,-360,4,-350,-373,-370,-365,-360,-360,-20,-356,-375,-361,-355,-362,-324,7,0,-360,16,4,-360,-371,-360,-360,-360,36,-356,-360,-362,-361,24,-362,-364,-354,-352,-363,-364,-13,36,-360,-360,-360,-360,12,-128,-375,-350,-370,-364,-375,-375,-5,-369,-360,-8,-354,-359,-361,-364,-357,-365,-14,-358,-340,-357,-328,-362,-360,-1,-359,-360,-28,-361,2,-360,-360,-360,-362,-363,-10,-362,0,6,-358,-360,-355,-355,-375,-360,-359,-357,8
Choki,"=IF(C6>=0,C6/C$3*15+25,25-C6/C$4*15)",-86693,-370,-367,-367,-375,0,375,-375,-367,-375,-372,-375,-360,-355,-372,-374,-350,-370,-335,-328,-125,-358,-360,-350,-95,-350,-355,-360,-371,-357,-365,-355,-355,-360,-361,-360,-365,-360,-365,40,-360,-344,-360,-360,-365,-370,-360,-360,-359,21,-360,-350,-361,-355,-361,-360,-356,-360,10,-365,-375,-360,-348,-360,-360,-22,-357,-365,-357,-357,-359,-317,-18,10,-360,11,42,-360,-372,-360,-360,-370,26,-360,-360,-356,-365,-3,-359,-360,-364,-352,-367,-367,25,10,-360,-360,-360,-360,19,-128,-373,-361,-368,-359,-375,-353,-12,-368,-360,-8,-355,-360,-356,-359,-349,-371,-360,-359,-348,-359,-339,-362,-360,18,-363,-360,10,-344,-4,-357,-360,-356,-355,-360,1,-361,95,-24,-359,-360,-362,-356,-375,-360,-358,-355,3
Pa,"=IF(C7>=0,C7/C$3*15+25,25-C7/C$4*15)",-84741,-370,-367,-369,375,-375,0,-373,-371,-375,-372,-375,-360,-355,-372,-374,-365,-372,-350,-321,0,-359,-360,-350,190,-350,-360,-360,-368,-359,-360,-360,-370,-360,-356,-360,-350,-360,-367,40,-360,-346,-360,-360,-360,-375,-360,-360,-359,6,-360,-355,-358,-360,-357,-358,-361,-360,-1,-365,-373,-365,-343,-360,-360,-9,-358,-370,-365,-360,-358,-316,-5,5,-360,-32,-3,-360,-373,-360,-360,-360,106,-362,-360,-359,-355,-19,-357,-361,-357,-356,-364,-367,-17,26,-360,-360,-360,-360,-6,-127,-374,-356,-368,-364,-375,-364,4,-372,-360,4,-360,-360,-359,-365,-358,-360,7,-363,114,-366,-321,-357,-360,6,-371,-360,-24,-352,15,-358,-360,-354,-361,-354,12,-357,-95,7,-360,-360,-363,-356,-375,-360,-363,-361,5
s09a1007,"=IF(C8>=0,C8/C$3*15+25,25-C8/C$4*15)",37433,63,12,362,374,375,375,0,59,-6,-1,71,237,130,25,170,328,72,34,67,359,23,13,71,358,346,205,31,26,337,287,128,352,134,341,367,287,291,17,54,70,89,2,350,344,352,358,79,53,6,358,102,10,236,57,323,115,336,-3,108,57,327,342,360,360,-1,12,92,240,100,305,-11,-4,-8,59,12,-14,293,309,360,358,201,49,13,325,11,21,0,13,12,17,52,120,12,24,-16,10,-1,40,20,37,30,27,25,35,26,53,145,17,157,-5,-15,52,41,7,14,61,300,117,317,152,36,24,101,85,-28,47,80,3,25,-10,45,267,4,115,16,-7,304,343,-7,8,57,5,14,156,367,16,127,165
s12a2036,"=IF(C9>=0,C9/C$3*15+25,25-C9/C$4*15)",17102,68,4,363,367,368,371,-68,0,-31,-37,16,45,1,-33,43,200,-27,0,12,341,-9,8,6,321,88,70,-7,32,65,22,31,233,21,172,343,61,52,1,7,7,-3,-4,110,280,22,343,-12,-23,20,343,-28,-21,3,19,34,38,60,-2,66,10,70,148,341,344,0,-26,25,59,9,2,-11,7,-10,202,15,-13,42,20,344,342,19,-6,3,79,3,-7,-11,8,-9,30,2,7,18,-2,21,3,-17,26,11,-19,12,5,1,-49,22,30,180,-4,66,-14,-2,-1,66,6,38,13,68,43,88,314,7,-18,40,41,-17,15,15,-2,2,1,13,33,-2,44,-9,-6,21,156,13,0,32,35,14,15,344,18,26,22
s12a2070,"=IF(C10>=0,C10/C$3*15+25,25-C10/C$4*15)",15027,8,26,368,372,373,373,-10,11,0,-6,29,10,-61,-35,80,-18,-30,6,5,77,21,45,39,-13,29,56,2,-16,87,16,32,2,45,82,351,10,152,-24,15,36,18,34,95,-17,43,352,27,18,0,353,27,5,21,18,-12,17,175,-8,100,28,5,34,356,357,-8,31,42,86,28,1,-14,15,10,93,15,28,16,7,356,362,24,-2,-7,58,-9,2,6,19,19,7,13,15,-48,-2,7,4,47,19,45,-7,12,8,18,-36,35,-1,47,-9,78,32,12,50,34,31,49,32,12,41,44,70,50,-35,15,22,-18,17,37,-6,6,25,41,64,26,31,-5,13,0,34,0,29,53,15,20,33,364,33,35,-6
s12a1057,"=IF(C11>=0,C11/C$3*15+25,25-C11/C$4*15)",28215,75,13,368,374,372,372,9,8,17,0,46,97,64,-28,144,94,-13,33,21,365,44,1,19,317,330,107,34,-2,167,98,75,332,84,257,375,80,368,2,46,30,25,22,282,285,207,375,51,20,-31,375,366,13,54,28,56,34,130,-1,104,27,366,346,375,375,-7,92,18,163,58,84,-32,-31,25,11,-9,-3,362,153,375,375,90,40,-3,335,-14,32,-20,17,-24,4,14,7,10,-13,-10,45,36,57,14,16,11,-6,2,34,10,57,140,-12,65,-7,10,26,68,-25,-18,91,39,48,119,90,24,-4,48,74,0,33,49,28,25,-20,-33,246,24,47,47,17,201,179,-4,8,155,17,47,94,375,-17,41,85
